COMPOUND,DOSE,ID,DV,TIME,TIME_UNIT,EVID,CENS,AMT,TINF,WT,UNIT,YTYPE,YDESC,MDV,STUDYID,SPECIES,SEX,SUBJECT_GROUP,STUDYID,DOSE_GROUP,ROUTE
DemoDrug,1,1,.,0,h,1,0,25000,0.01,0.025,ng,1,DemoDrug Concentration,0,DEMO,Mice,Male,1,.,.,IV
DemoDrug,1,1,2374.55,0.083,h,0,0,.,.,0.025,ng/mL,1,DemoDrug Concentration,0,DEMO,Mice,Male,1,.,.,IV
DemoDrug,1,1,1711.18,0.25,h,0,0,.,.,0.025,ng/mL,1,DemoDrug Concentration,0,DEMO,Mice,Male,1,.,.,IV
DemoDrug,1,1,1223.99,0.5,h,0,0,.,.,0.025,ng/mL,1,DemoDrug Concentration,0,DEMO,Mice,Male,1,.,.,IV
DemoDrug,1,1,864.634,1,h,0,0,.,.,0.025,ng/mL,1,DemoDrug Concentration,0,DEMO,Mice,Male,1,.,.,IV
DemoDrug,1,1,585.403,2,h,0,0,.,.,0.025,ng/mL,1,DemoDrug Concentration,0,DEMO,Mice,Male,1,.,.,IV
DemoDrug,1,1,413.016,3,h,0,0,.,.,0.025,ng/mL,1,DemoDrug Concentration,0,DEMO,Mice,Male,1,.,.,IV
DemoDrug,1,1,294.993,4,h,0,0,.,.,0.025,ng/mL,1,DemoDrug Concentration,0,DEMO,Mice,Male,1,.,.,IV
DemoDrug,1,1,213.865,5,h,0,0,.,.,0.025,ng/mL,1,DemoDrug Concentration,0,DEMO,Mice,Male,1,.,.,IV
DemoDrug,1,1,157.938,6,h,0,0,,,0.025,ng/mL,1,DemoDrug Concentration,0,DEMO,Mice,Male,1,.,.,IV
DemoDrug,1,1,119.263,7,h,0,0,,,0.025,ng/mL,1,DemoDrug Concentration,0,DEMO,Mice,Male,1,.,.,IV
DemoDrug,1,1,60.4594,10,h,0,0,,,0.025,ng/mL,1,DemoDrug Concentration,0,DEMO,Mice,Male,1,.,.,IV
DemoDrug,1,1,51.0681,11,h,0,0,,,0.025,ng/mL,1,DemoDrug Concentration,0,DEMO,Mice,Male,1,.,.,IV
DemoDrug,1,1,44.295,12,h,0,0,,,0.025,ng/mL,1,DemoDrug Concentration,0,DEMO,Mice,Male,1,.,.,IV
DemoDrug,1,1,32.7363,15,h,0,0,,,0.025,ng/mL,1,DemoDrug Concentration,0,DEMO,Mice,Male,1,.,.,IV
DemoDrug,1,1,30.4748,16,h,0,0,,,0.025,ng/mL,1,DemoDrug Concentration,0,DEMO,Mice,Male,1,.,.,IV
DemoDrug,1,1,27.0991,18,h,0,0,,,0.025,ng/mL,1,DemoDrug Concentration,0,DEMO,Mice,Male,1,.,.,IV
DemoDrug,1,1,24.6075,20,h,0,0,,,0.025,ng/mL,1,DemoDrug Concentration,0,DEMO,Mice,Male,1,.,.,IV
DemoDrug,1,1,20.8673,24,h,0,0,,,0.025,ng/mL,1,DemoDrug Concentration,0,DEMO,Mice,Male,1,.,.,IV
DemoDrug,2,2,.,0,h,1,0,125000,0.01,0.025,ng,1,DemoDrug Concentration,0,DEMO,Mice,Male,2,.,.,IV
DemoDrug,2,2,11872.8,0.083,h,0,0,.,.,0.025,ng/mL,1,DemoDrug Concentration,0,DEMO,Mice,Male,2,.,.,IV
DemoDrug,2,2,8555.92,0.25,h,0,0,.,.,0.025,ng/mL,1,DemoDrug Concentration,0,DEMO,Mice,Male,2,.,.,IV
DemoDrug,2,2,6119.95,0.5,h,0,0,.,.,0.025,ng/mL,1,DemoDrug Concentration,0,DEMO,Mice,Male,2,.,.,IV
DemoDrug,2,2,4323.17,1,h,0,0,.,.,0.025,ng/mL,1,DemoDrug Concentration,0,DEMO,Mice,Male,2,.,.,IV
DemoDrug,2,2,2927.02,2,h,0,0,.,.,0.025,ng/mL,1,DemoDrug Concentration,0,DEMO,Mice,Male,2,.,.,IV
DemoDrug,2,2,2065.08,3,h,0,0,.,.,0.025,ng/mL,1,DemoDrug Concentration,0,DEMO,Mice,Male,2,.,.,IV
DemoDrug,2,2,1474.97,4,h,0,0,.,.,0.025,ng/mL,1,DemoDrug Concentration,0,DEMO,Mice,Male,2,.,.,IV
DemoDrug,2,2,1069.33,5,h,0,0,.,.,0.025,ng/mL,1,DemoDrug Concentration,0,DEMO,Mice,Male,2,.,.,IV
DemoDrug,2,2,789.688,6,h,0,0,,,0.025,ng/mL,1,DemoDrug Concentration,0,DEMO,Mice,Male,2,.,.,IV
DemoDrug,2,2,596.317,7,h,0,0,,,0.025,ng/mL,1,DemoDrug Concentration,0,DEMO,Mice,Male,2,.,.,IV
DemoDrug,2,2,302.297,10,h,0,0,,,0.025,ng/mL,1,DemoDrug Concentration,0,DEMO,Mice,Male,2,.,.,IV
DemoDrug,2,2,255.341,11,h,0,0,,,0.025,ng/mL,1,DemoDrug Concentration,0,DEMO,Mice,Male,2,.,.,IV
DemoDrug,2,2,221.475,12,h,0,0,,,0.025,ng/mL,1,DemoDrug Concentration,0,DEMO,Mice,Male,2,.,.,IV
DemoDrug,2,2,163.681,15,h,0,0,,,0.025,ng/mL,1,DemoDrug Concentration,0,DEMO,Mice,Male,2,.,.,IV
DemoDrug,2,2,152.374,16,h,0,0,,,0.025,ng/mL,1,DemoDrug Concentration,0,DEMO,Mice,Male,2,.,.,IV
DemoDrug,2,2,135.495,18,h,0,0,,,0.025,ng/mL,1,DemoDrug Concentration,0,DEMO,Mice,Male,2,.,.,IV
DemoDrug,2,2,123.037,20,h,0,0,,,0.025,ng/mL,1,DemoDrug Concentration,0,DEMO,Mice,Male,2,.,.,IV
DemoDrug,2,2,104.337,24,h,0,0,,,0.025,ng/mL,1,DemoDrug Concentration,0,DEMO,Mice,Male,2,.,.,IV
DemoDrug,3,3,.,0,h,1,0,25000,0.01,0.025,ng,1,DemoDrug Concentration,0,DEMO,Mice,Male,3,.,.,SC
DemoDrug,3,3,397.276,0.083,h,0,0,.,.,0.025,ng/mL,1,DemoDrug Concentration,0,DEMO,Mice,Male,3,.,.,SC
DemoDrug,3,3,849.843,0.25,h,0,0,.,.,0.025,ng/mL,1,DemoDrug Concentration,0,DEMO,Mice,Male,3,.,.,SC
DemoDrug,3,3,1072.11,0.5,h,0,0,.,.,0.025,ng/mL,1,DemoDrug Concentration,0,DEMO,Mice,Male,3,.,.,SC
